CustomerID,Age,Gender,Job,Education,MaritalStatus,Balance,Tenure,CreditScore,HasLoan,TypeOfLoan,AvgTransactionPerMonth,HasCrCard,EstimatedSalary,NumOfProducts,UseOfDigitalBankServices,KnowledgeAboutServices,InvestmentInBankSchemes,IsActiveMember,Rating,ServicesUsed,ReviewSentiment,KeywordsInComplaint,IssueResolved,CustomerLeft,App,ServiceOffline,EaseOfAccessOfBankingServiceOnline,PaymentDeclineServerIssue,FraudSecurity,Insurance,LoanApproval,WithinTimeframeServiceDelivery,SincereEffortsSolvingProblems,HelpFinancialPlanning,RespondingCustomerRequests,FeelingSafetyTransacting,PersonalAttention,AcceptingResolvingFaults
10,39,Female,Artist,High School,Divorced,159695.43,2,526,No,no_loan,27.37,Yes,41798.46,1,No,5,No,Yes,3,"Insurance, Savings Plans",Negative,Fees,No,0,6,1,6,9,2,4,3,3,3,1,1,3,2,3
11,44,Female,Doctor,Bachelors,Married,166665.98,3,549,No,no_loan,3.22,No,31515.1,4,Yes,3,No,Yes,6,Savings Plans,Positive,Service,Yes,0,8,4,6,10,5,9,3,7,7,5,5,10,4,6
12,20,Female,Lawyer,High School,Single,169457.39,5,349,No,no_loan,83.52,No,46301.97,4,No,1,Yes,No,9,Insurance,Positive,Service,No,0,6,10,6,10,6,10,3,10,10,6,7,10,6,10
13,50,Male,Businessman,High School,Married,68373,24,688,Yes,Business Loan,6.52,No,33344.89,1,No,1,Yes,Yes,10,"Insurance, Savings Plans",Positive,Miscommunication,No,1,6,9,6,7,6,10,4,10,10,7,8,10,8,10
14,19,Female,Lawyer,Masters,Divorced,158897.76,28,587,No,no_loan,21.36,No,87727.91,1,No,4,Yes,No,3,Savings Plans,Neutral,Technical Issue,No,1,6,2,6,10,3,5,3,4,4,1,4,4,4,3
15,28,Male,Manager,High School,Divorced,43223.51,26,774,No,no_loan,54.9,Yes,148467.94,2,No,4,Yes,Yes,9,"Insurance, Savings Plans",Positive,"Service, Fees",No,0,6,8,6,6,9,10,3,10,10,8,10,10,6,10
16,63,Female,Lawyer,Masters,Divorced,147946.6,18,305,No,no_loan,18.66,No,24462.56,3,No,5,No,No,9,Savings Plans,Neutral,Fees,No,0,6,6,6,10,8,10,3,10,10,4,7,10,6,10
17,27,Male,Engineer,High School,Married,189728.5,21,711,No,no_loan,83.55,No,79946.69,3,No,5,Yes,No,1,Savings Plans,Positive,Delay,No,1,6,1,6,5,1,2,3,1,1,1,1,1,1,2
18,56,Female,Lawyer,Masters,Divorced,3735.02,14,623,Yes,Personal Loan,77.94,Yes,70189.14,3,Yes,3,Yes,Yes,2,"Insurance, Savings Plans",Negative,Service,No,0,2,4,2,8,3,3,3,2,2,1,1,2,1,1
19,50,Male,Lawyer,Bachelors,Married,88632.42,25,698,Yes,Personal Loan,75.82,No,64148.83,2,No,4,Yes,Yes,4,Insurance,Positive,"Technical Issue, Delay",No,0,6,1,6,9,3,4,4,5,6,2,3,6,3,4
20,24,Female,Businessman,Bachelors,Single,129906.43,2,581,Yes,Business Loan,81.8,No,63142.27,2,No,5,No,Yes,7,Insurance,Positive,Miscommunication,No,0,6,6,6,10,5,10,4,8,9,5,8,9,5,10
21,32,Male,Doctor,PhD,Single,140653.38,15,490,No,no_loan,22.75,Yes,136351.66,2,Yes,3,Yes,No,2,Savings Plans,Negative,Technical Issue,Yes,0,2,4,3,10,1,2,3,1,1,1,2,4,2,3
22,43,Male,Teacher,High School,Divorced,36041.46,8,799,Yes,Personal Loan,73.16,No,22466.9,1,Yes,2,No,Yes,7,Savings Plans,Neutral,"Technical Issue, Delay",Yes,1,7,4,10,6,5,10,6,10,9,5,7,10,5,8
23,28,Male,Artist,PhD,Married,194464.47,16,733,Yes,Car Loan,36.17,Yes,120739.13,2,No,3,Yes,No,5,Insurance,Negative,Fees,Yes,1,6,6,6,8,4,8,5,7,6,3,3,6,3,8
24,55,Female,Doctor,PhD,Married,123437.81,3,362,No,no_loan,67.02,No,52881.31,4,No,5,No,Yes,10,"Insurance, Savings Plans",Positive,"Technical Issue, Delay",No,1,6,8,6,10,9,10,3,10,10,5,10,10,6,10
25,44,Female,Doctor,Masters,Divorced,33703.78,24,752,No,no_loan,13.08,No,69828.42,1,No,3,No,No,7,"Insurance, Savings Plans",Positive,Service,Yes,1,6,6,6,7,6,9,3,8,6,6,5,9,5,9
26,56,Female,Doctor,Bachelors,Married,5083.98,20,792,No,no_loan,70.85,No,74619.49,1,No,2,Yes,No,9,Insurance,Neutral,Miscommunication,No,0,6,6,6,6,9,10,3,10,10,7,7,10,8,9
27,24,Male,Artist,High School,Divorced,156869.58,20,741,No,no_loan,97.24,Yes,59615.13,3,Yes,5,No,Yes,9,Insurance,Positive,Service,Yes,0,9,4,9,6,7,10,3,10,10,6,9,10,6,10
28,18,Male,Manager,High School,Divorced,16861.24,28,606,No,no_loan,5.32,No,32162.65,3,Yes,3,No,Yes,3,Insurance,Positive,Delay,Yes,1,3,4,4,9,4,3,3,2,2,2,3,3,1,4
29,27,Female,Doctor,Masters,Single,29069.13,23,425,Yes,Home Loan,10.29,No,34863.01,2,Yes,5,Yes,Yes,3,Savings Plans,Neutral,"Technical Issue, Delay",No,1,4,4,3,10,2,5,2,1,3,3,1,4,1,4
30,38,Female,Teacher,PhD,Divorced,115391.18,5,564,Yes,Car Loan,13.24,Yes,58757.05,4,Yes,3,No,No,7,Insurance,Neutral,Fees,Yes,0,8,4,9,8,5,10,5,9,8,5,5,10,6,8
31,32,Male,Manager,Masters,Married,121097.6,4,306,Yes,Business Loan,43.63,No,126835.18,1,Yes,1,Yes,No,5,Insurance,Neutral,"Service, Fees",No,0,4,4,7,10,3,9,3,6,6,3,5,7,3,9
32,47,Female,Lawyer,PhD,Divorced,137690.54,23,712,Yes,Education Loan,29.79,No,37501.59,1,Yes,5,Yes,Yes,5,Insurance,Neutral,Fees,Yes,0,5,4,5,4,5,9,4,6,5,3,5,7,3,7
33,47,Male,Teacher,High School,Single,79309.29,12,505,Yes,Car Loan,80.89,No,116543.18,1,No,5,Yes,Yes,5,Insurance,Positive,Fees,Yes,0,6,3,6,10,4,9,3,6,6,4,5,6,3,6
34,25,Male,Businessman,Masters,Single,155005.84,19,478,No,no_loan,47.9,Yes,57553.06,3,No,5,No,Yes,9,"Insurance, Savings Plans",Neutral,Fees,Yes,0,6,8,6,10,9,10,3,10,10,6,8,10,7,10
35,41,Male,Manager,PhD,Married,194897.36,15,767,Yes,Car Loan,48.97,Yes,134850.44,3,No,5,No,No,4,"Insurance, Savings Plans",Neutral,Miscommunication,No,1,6,2,6,4,3,6,6,5,6,2,5,4,2,5
36,36,Female,Lawyer,Masters,Divorced,54947.89,25,795,Yes,Business Loan,71.99,Yes,75682.7,4,Yes,3,No,No,6,Insurance,Positive,Delay,Yes,0,6,4,6,5,6,9,5,8,7,5,5,7,5,6
37,20,Male,Lawyer,Bachelors,Married,140902.69,13,742,Yes,Car Loan,36.83,No,42324.03,3,No,4,No,Yes,6,Savings Plans,Neutral,Service,No,0,6,6,6,7,5,7,6,7,6,5,6,7,4,7
38,32,Female,Doctor,Masters,Married,185765.26,5,527,Yes,Car Loan,35.97,Yes,148159.78,4,Yes,3,Yes,Yes,7,Savings Plans,Positive,Miscommunication,Yes,1,8,4,9,8,5,10,1,8,7,4,4,9,5,8
39,53,Male,Doctor,High School,Divorced,137571.07,12,445,Yes,Personal Loan,75.94,No,42962.49,3,Yes,2,No,No,2,"Insurance, Savings Plans",Neutral,"Technical Issue, Delay",Yes,0,1,4,2,10,2,1,3,3,2,2,1,3,2,2
40,23,Female,Artist,Masters,Single,136540.79,19,595,No,no_loan,78.22,Yes,93790.58,4,No,1,Yes,No,6,Savings Plans,Neutral,Technical Issue,No,0,6,6,6,10,5,9,3,8,8,5,6,8,5,6
41,59,Female,Engineer,High School,Married,45530.74,2,540,No,no_loan,2.43,Yes,94007.24,3,No,3,No,Yes,9,Savings Plans,Negative,Fees,No,0,6,8,6,10,8,10,3,10,10,6,9,10,6,10
42,67,Male,Teacher,High School,Married,107490.91,7,586,Yes,Personal Loan,15.24,No,68465.75,3,No,3,No,Yes,3,"Insurance, Savings Plans",Positive,Fees,Yes,1,6,2,6,10,4,4,3,3,4,2,2,3,2,3
43,65,Male,Artist,Masters,Single,112942.05,28,325,No,no_loan,22.1,Yes,143693.52,2,No,5,No,Yes,2,Insurance,Neutral,Service,Yes,0,6,1,6,10,1,1,3,3,1,2,1,3,3,3
44,35,Male,Artist,Masters,Divorced,140325.78,23,751,Yes,Personal Loan,35.81,Yes,129703.69,2,Yes,2,Yes,No,8,Insurance,Negative,Fees,No,0,7,4,9,7,6,10,4,9,10,6,5,10,7,8
45,55,Male,Teacher,Masters,Divorced,199367.47,28,405,Yes,Home Loan,29.85,No,127876.54,2,No,5,Yes,Yes,1,"Insurance, Savings Plans",Negative,Fees,No,0,6,1,6,10,1,1,4,1,1,1,2,1,1,2
46,36,Female,Manager,Bachelors,Divorced,7695.12,29,539,No,no_loan,67.18,No,146639.75,4,Yes,5,Yes,No,8,Insurance,Positive,Service,Yes,0,7,4,9,10,6,10,3,10,9,6,6,10,5,10
47,66,Female,Businessman,Bachelors,Single,13981.3,5,717,No,no_loan,82.99,No,79424.21,4,Yes,4,Yes,Yes,5,Insurance,Negative,Delay,No,1,7,4,8,6,3,6,3,8,7,4,5,5,2,5
48,67,Female,Teacher,PhD,Married,16512.06,20,631,No,no_loan,20.02,No,32634.15,4,No,1,No,Yes,9,"Insurance, Savings Plans",Positive,Miscommunication,Yes,0,6,7,6,8,7,10,3,10,10,8,6,10,6,10
49,47,Female,Lawyer,Masters,Single,148852.85,29,341,Yes,Education Loan,56.74,No,119509.27,4,Yes,4,No,Yes,9,"Insurance, Savings Plans",Negative,Delay,No,0,10,4,10,10,6,10,2,10,10,6,8,10,6,10
50,30,Female,Businessman,PhD,Married,28134.41,11,334,Yes,Business Loan,37.41,No,69505.64,2,No,5,No,Yes,4,"Insurance, Savings Plans",Positive,Service,No,0,6,4,6,10,4,6,2,5,3,4,2,6,4,4
51,56,Male,Engineer,PhD,Married,124867.92,18,646,Yes,Education Loan,51.07,No,44744.87,1,Yes,1,No,Yes,1,Savings Plans,Neutral,"Service, Fees",Yes,0,3,4,1,9,1,1,6,1,1,1,1,2,1,1
52,69,Male,Manager,High School,Divorced,65609.11,18,683,No,no_loan,62.46,No,82822.15,3,Yes,3,Yes,Yes,5,"Insurance, Savings Plans",Positive,"Technical Issue, Delay",Yes,1,6,4,5,7,5,7,3,6,6,2,5,5,3,6
53,29,Female,Doctor,PhD,Divorced,92006.67,7,812,No,no_loan,89.47,Yes,140343.46,3,Yes,2,Yes,No,7,"Insurance, Savings Plans",Negative,"Technical Issue, Delay",Yes,1,8,4,9,4,6,9,3,9,9,4,7,9,4,8
54,51,Male,Engineer,Masters,Divorced,43916.97,10,587,Yes,Personal Loan,20.04,No,42276.41,4,No,4,Yes,No,9,"Insurance, Savings Plans",Positive,"Service, Fees",Yes,0,6,9,6,10,7,10,3,10,9,6,6,10,7,10
55,29,Male,Engineer,Bachelors,Single,173355.21,23,332,No,no_loan,9.61,Yes,130330.85,2,No,2,No,Yes,10,"Insurance, Savings Plans",Neutral,"Service, Fees",No,0,6,7,6,10,10,10,3,10,10,6,8,10,8,10
56,61,Male,Doctor,PhD,Divorced,117643.91,20,394,No,no_loan,63.09,No,74366.64,1,No,5,No,No,9,Insurance,Neutral,Fees,No,1,6,7,6,10,10,10,3,10,10,6,7,10,6,10
57,41,Male,Engineer,PhD,Single,188968.09,14,504,Yes,Home Loan,40.02,No,37784.26,2,No,1,No,No,9,"Insurance, Savings Plans",Negative,"Technical Issue, Delay",No,1,6,7,6,10,7,10,4,10,9,7,6,10,6,10
58,21,Male,Manager,Bachelors,Divorced,115344.65,20,329,No,no_loan,17.13,Yes,130289.7,3,Yes,3,No,No,6,"Insurance, Savings Plans",Negative,Fees,No,0,7,4,7,10,5,7,3,7,6,4,6,8,4,6
59,53,Male,Manager,PhD,Divorced,25657.7,20,565,No,no_loan,12.59,Yes,146050.64,4,No,1,No,No,2,Savings Plans,Negative,Delay,No,1,6,1,6,10,1,2,3,1,3,3,1,2,1,2
60,67,Female,Manager,Masters,Divorced,35003.22,11,322,Yes,Education Loan,56.33,Yes,57865.19,4,Yes,2,No,Yes,5,Savings Plans,Neutral,Technical Issue,Yes,0,6,4,5,10,5,7,1,4,5,1,3,7,2,5
61,65,Male,Artist,PhD,Single,197825.72,2,338,Yes,Personal Loan,30.75,No,59459.71,2,No,2,No,Yes,3,Insurance,Neutral,Miscommunication,Yes,1,6,1,6,10,3,4,2,3,4,2,3,3,2,3
62,31,Male,Artist,High School,Married,145387.47,13,472,Yes,Personal Loan,99.75,No,70770.98,4,Yes,3,Yes,Yes,6,"Insurance, Savings Plans",Negative,Fees,No,0,6,4,6,10,7,8,2,7,9,5,4,9,4,7
63,34,Female,Manager,PhD,Single,10806.47,13,712,No,no_loan,41.18,No,125836.95,1,Yes,3,Yes,Yes,5,"Insurance, Savings Plans",Neutral,Service,No,1,6,4,6,5,4,6,3,7,5,4,4,6,4,7
64,66,Female,Doctor,High School,Single,141052.42,9,713,Yes,Business Loan,22.02,No,21354.24,3,Yes,1,No,Yes,10,"Insurance, Savings Plans",Neutral,Delay,Yes,0,10,4,10,6,9,10,6,10,10,7,9,10,6,10
65,20,Female,Doctor,Bachelors,Single,83022.44,17,508,No,no_loan,63.26,Yes,49114.35,1,Yes,4,No,No,1,Savings Plans,Negative,"Technical Issue, Delay",No,0,2,4,1,8,1,2,3,1,1,1,3,2,3,1
66,55,Male,Teacher,Bachelors,Married,62134.47,15,321,Yes,Home Loan,25.18,No,111766.98,2,Yes,1,No,No,10,Insurance,Neutral,Miscommunication,Yes,1,10,4,10,10,9,10,2,10,10,9,10,10,7,10
67,40,Female,Teacher,PhD,Single,31658.1,24,304,Yes,Home Loan,49.91,Yes,72733.13,3,Yes,2,No,Yes,10,Savings Plans,Negative,"Service, Fees",No,1,10,4,10,10,8,10,1,10,10,6,7,10,9,10
68,30,Male,Manager,PhD,Divorced,168140.89,22,513,Yes,Business Loan,48.78,No,62938.43,1,No,1,Yes,Yes,2,"Insurance, Savings Plans",Neutral,Technical Issue,No,1,6,1,6,10,1,3,3,2,2,2,2,2,1,3
69,26,Female,Businessman,Bachelors,Married,13704.43,29,438,No,no_loan,45.9,No,133396.78,1,Yes,5,Yes,Yes,5,Savings Plans,Positive,"Service, Fees",No,0,5,4,4,10,4,7,3,7,6,2,4,8,3,6
70,38,Male,Engineer,High School,Single,58677.26,26,616,Yes,Home Loan,79.81,Yes,139253.41,1,No,1,No,Yes,6,"Insurance, Savings Plans",Positive,"Service, Fees",Yes,1,6,4,6,8,4,8,5,6,8,4,5,7,5,6
71,58,Male,Engineer,Bachelors,Single,61970.2,23,455,Yes,Home Loan,22.44,No,143238.21,3,No,1,Yes,No,1,"Insurance, Savings Plans",Neutral,"Technical Issue, Delay",Yes,1,6,1,6,10,1,2,4,1,1,1,1,1,1,1
72,25,Female,Doctor,Bachelors,Married,33020.15,28,723,No,no_loan,90.53,Yes,55431.57,3,No,5,Yes,No,7,"Insurance, Savings Plans",Neutral,Fees,No,0,6,5,6,6,6,8,3,9,9,4,5,10,6,8
73,34,Male,Businessman,High School,Single,102128.79,21,799,No,no_loan,79.34,No,138626.64,4,Yes,2,No,No,3,Insurance,Positive,Delay,No,0,5,4,5,7,1,2,3,5,3,2,3,2,2,4
74,33,Male,Engineer,Bachelors,Married,3328.82,22,390,Yes,Business Loan,33.98,No,115805.52,2,Yes,3,Yes,No,1,Savings Plans,Negative,Fees,Yes,1,1,4,3,10,1,1,3,1,2,1,1,1,1,2
75,33,Male,Lawyer,PhD,Divorced,60894.13,22,341,Yes,Education Loan,18.88,No,40047.92,4,Yes,1,No,Yes,7,"Insurance, Savings Plans",Negative,"Technical Issue, Delay",Yes,0,8,4,9,10,5,10,3,9,7,6,6,8,5,10
76,45,Male,Artist,PhD,Single,186792.26,29,594,Yes,Car Loan,28.67,No,99335.1,2,Yes,4,No,Yes,7,"Insurance, Savings Plans",Positive,"Technical Issue, Delay",No,1,9,4,10,9,4,10,2,9,6,5,6,9,6,8
77,68,Female,Engineer,Bachelors,Single,62795.38,16,636,No,no_loan,33.93,No,23423.53,3,Yes,3,No,Yes,10,Insurance,Negative,Delay,Yes,0,10,4,10,8,9,10,3,10,10,7,9,10,7,10
78,33,Female,Engineer,PhD,Divorced,72731.42,25,300,No,no_loan,56.14,Yes,112089.16,1,No,4,No,No,3,Insurance,Negative,Technical Issue,No,0,6,2,6,10,3,4,3,3,1,1,2,5,2,4
79,63,Female,Teacher,Masters,Single,95159.84,10,408,Yes,Home Loan,5.59,No,115363.78,4,Yes,1,Yes,Yes,6,"Insurance, Savings Plans",Positive,"Technical Issue, Delay",No,1,6,4,7,10,5,9,3,6,6,3,6,8,3,7
80,69,Male,Lawyer,Bachelors,Single,112776.98,29,424,Yes,Car Loan,91.52,No,122614.01,3,No,4,No,Yes,4,"Insurance, Savings Plans",Positive,Service,No,1,6,2,6,10,3,6,3,4,4,3,3,4,3,5
81,63,Female,Engineer,Masters,Married,161933.02,20,363,Yes,Personal Loan,10.77,No,42428.26,3,Yes,3,No,Yes,4,"Insurance, Savings Plans",Neutral,"Technical Issue, Delay",Yes,0,6,4,6,10,4,5,2,4,4,3,3,6,2,6
82,31,Female,Artist,Bachelors,Single,38873.92,28,505,Yes,Home Loan,28.65,No,101672.49,3,Yes,4,Yes,No,9,"Insurance, Savings Plans",Positive,"Technical Issue, Delay",Yes,1,10,4,10,9,7,10,4,10,10,7,7,10,7,9
83,63,Male,Engineer,Bachelors,Divorced,174477.53,27,714,No,no_loan,11.82,Yes,43251.37,4,No,4,No,Yes,7,Insurance,Positive,Service,No,1,6,6,6,6,6,10,3,9,7,6,7,10,6,10
84,61,Female,Doctor,Masters,Single,151752.32,12,543,No,no_loan,26.41,No,143064.51,3,No,3,Yes,No,6,Savings Plans,Negative,Miscommunication,No,1,6,6,6,9,5,10,3,7,7,3,5,9,3,6
85,55,Female,Lawyer,Bachelors,Married,144807.42,29,515,No,no_loan,83.93,Yes,107751.39,2,Yes,3,Yes,No,9,Insurance,Negative,"Technical Issue, Delay",No,1,10,4,10,10,7,10,3,10,10,5,7,10,5,10
86,37,Female,Engineer,PhD,Divorced,18274.11,5,827,Yes,Home Loan,61.9,Yes,32392.36,2,Yes,3,No,No,3,Insurance,Neutral,Fees,No,1,2,4,2,5,3,2,6,5,2,1,3,5,1,4
87,62,Male,Businessman,Masters,Divorced,5306.5,20,679,Yes,Business Loan,23.5,Yes,44314.19,1,No,3,No,Yes,4,Savings Plans,Negative,Fees,Yes,1,6,3,6,9,2,6,5,4,4,2,1,5,2,5
88,65,Female,Lawyer,Bachelors,Divorced,119208.53,17,378,No,no_loan,87.3,Yes,106249.81,4,Yes,5,Yes,Yes,9,"Insurance, Savings Plans",Negative,Fees,No,0,10,4,10,10,6,10,3,10,10,8,6,10,7,10
89,58,Female,Engineer,PhD,Divorced,172763.66,10,714,Yes,Education Loan,80.27,Yes,81967.16,4,Yes,1,Yes,Yes,4,"Insurance, Savings Plans",Negative,Service,Yes,1,6,4,6,6,2,6,4,4,7,3,4,4,2,5
90,51,Female,Artist,Masters,Married,117303.85,6,752,No,no_loan,75.61,No,115718.7,4,Yes,3,No,No,7,Savings Plans,Positive,"Technical Issue, Delay",No,1,9,4,9,7,6,9,3,9,9,4,6,10,6,9
91,46,Male,Artist,Masters,Married,43433.74,21,448,Yes,Home Loan,84.92,Yes,56502.54,4,Yes,2,No,No,9,Insurance,Negative,Miscommunication,No,1,10,4,10,10,9,10,1,10,10,8,5,10,6,10
92,20,Male,Lawyer,PhD,Married,19013.46,20,337,Yes,Personal Loan,62.35,Yes,105529.28,4,Yes,4,No,Yes,4,"Insurance, Savings Plans",Positive,Service,Yes,1,4,4,5,10,3,3,2,5,4,2,3,5,3,4
93,27,Female,Manager,Bachelors,Married,140219.69,6,456,Yes,Home Loan,50.64,Yes,43004.82,3,Yes,3,No,No,9,Savings Plans,Negative,"Service, Fees",Yes,0,10,4,10,10,9,10,3,10,10,8,8,10,7,10
94,37,Female,Teacher,Bachelors,Single,144632.29,12,632,No,no_loan,38.02,Yes,90682.33,3,No,3,No,No,7,Savings Plans,Positive,Delay,Yes,0,6,6,6,8,4,10,3,10,7,7,9,9,6,9
95,19,Female,Teacher,Masters,Married,35333.81,21,587,Yes,Personal Loan,23.15,Yes,144513.95,2,Yes,1,No,Yes,4,Savings Plans,Negative,Fees,Yes,1,5,4,5,10,3,5,3,5,5,2,5,3,2,7
96,44,Male,Doctor,High School,Single,6609.87,19,411,Yes,Personal Loan,56.18,Yes,101668.89,4,No,3,No,Yes,3,"Insurance, Savings Plans",Neutral,"Technical Issue, Delay",Yes,1,6,1,6,10,2,3,2,4,3,2,2,4,2,4
97,49,Male,Manager,Bachelors,Divorced,82248.42,2,390,No,no_loan,89.06,No,26499.17,4,Yes,5,No,No,6,Savings Plans,Neutral,"Technical Issue, Delay",Yes,0,6,4,8,10,6,8,3,5,6,3,5,7,5,8
98,27,Female,Teacher,Bachelors,Single,116961.02,13,348,Yes,Car Loan,59.8,No,148539.08,4,No,2,Yes,Yes,3,Insurance,Neutral,Delay,No,1,6,2,6,10,2,3,2,3,3,2,2,4,2,3
99,57,Female,Lawyer,PhD,Single,141494.48,22,460,Yes,Car Loan,92.04,Yes,40392.62,2,Yes,2,Yes,Yes,7,Insurance,Negative,"Service, Fees",Yes,1,9,4,8,10,7,10,2,9,8,5,7,10,4,6
100,34,Male,Teacher,High School,Single,162179.06,20,815,No,no_loan,36.33,Yes,113348.98,4,No,3,Yes,No,1,Savings Plans,Neutral,Technical Issue,No,0,6,1,6,3,1,1,3,1,1,1,1,1,1,1
101,50,Male,Doctor,High School,Married,122496.95,11,701,Yes,Education Loan,69.82,Yes,89228.91,4,No,1,Yes,No,7,Savings Plans,Positive,"Technical Issue, Delay",Yes,1,6,6,6,7,7,10,5,10,7,4,6,8,2,9
102,23,Female,Engineer,Masters,Married,23065.24,15,619,No,no_loan,65.22,Yes,58266.89,3,Yes,3,No,No,3,Savings Plans,Neutral,Delay,Yes,1,1,4,4,7,1,5,3,4,2,1,2,4,1,2
103,56,Male,Teacher,PhD,Divorced,136833.75,13,663,Yes,Personal Loan,67.37,Yes,43050.36,2,No,4,No,Yes,9,Insurance,Neutral,Delay,Yes,0,6,7,6,9,8,10,3,9,10,7,8,10,6,10
104,64,Female,Lawyer,PhD,Married,196851.15,26,741,Yes,Personal Loan,64.86,No,43101.31,3,No,2,No,Yes,6,"Insurance, Savings Plans",Neutral,"Technical Issue, Delay",No,1,6,7,6,6,5,9,5,7,6,4,5,8,4,7
105,35,Female,Lawyer,Bachelors,Single,181211.33,3,774,No,no_loan,22.94,No,131591.96,1,Yes,4,Yes,No,7,Insurance,Neutral,Delay,No,1,7,4,8,7,5,8,3,9,8,5,8,8,5,9
106,26,Male,Doctor,Masters,Married,174462.11,14,611,Yes,Personal Loan,15.22,No,133478.63,4,Yes,5,Yes,No,9,Savings Plans,Positive,"Technical Issue, Delay",Yes,0,10,4,10,9,8,10,4,10,10,5,9,10,6,10
107,25,Female,Businessman,Bachelors,Married,61131.86,8,831,No,no_loan,97.88,No,80468.92,1,No,2,No,Yes,6,"Insurance, Savings Plans",Neutral,"Technical Issue, Delay",Yes,0,6,5,6,5,4,10,3,8,7,5,6,9,4,6
108,42,Female,Doctor,High School,Single,150406.85,28,519,Yes,Business Loan,5.48,No,33470.79,4,Yes,2,Yes,No,10,"Insurance, Savings Plans",Negative,"Technical Issue, Delay",No,0,10,4,10,9,8,10,1,10,10,7,9,10,6,10
109,48,Female,Businessman,PhD,Divorced,170369.59,9,796,No,no_loan,47.31,No,134941.46,1,No,5,No,Yes,2,Savings Plans,Neutral,Service,Yes,1,6,1,6,7,2,2,3,3,1,1,1,3,2,1
110,59,Female,Artist,Masters,Married,135986.91,15,642,Yes,Car Loan,43.08,Yes,83312.14,3,Yes,4,No,No,6,Savings Plans,Negative,Delay,No,0,7,4,7,7,7,9,2,6,6,4,3,9,6,9
111,21,Female,Artist,Bachelors,Divorced,50861.79,23,393,Yes,Education Loan,36.64,Yes,77039.11,2,No,3,Yes,Yes,6,Insurance,Negative,"Service, Fees",Yes,1,6,3,6,10,5,8,1,7,6,4,3,8,4,5
112,37,Female,Artist,Bachelors,Single,190812.96,18,432,Yes,Business Loan,78.42,No,72956.41,1,No,1,Yes,Yes,2,Insurance,Neutral,Fees,No,1,6,1,6,10,1,3,3,1,2,1,1,2,1,1
